title,imdb.id
Big Momma's House,tt0208003
The Big Sleep,tt0038355
In Time,tt1637688
Big Eyes,tt1126590
Prince of Persia: The Sands of Time,tt0473075
Once Upon a Time in America,tt0087843
Once Upon a Time in Mexico,tt0285823
Hot Tub Time Machine,tt1231587
A Time to Kill,tt0117913
The Time Traveler's Wife,tt0452694
The Time Machine,tt0268695
Lagaan: Once Upon a Time in India,tt0169102
Gone Girl,tt2267998
The Girl with the Dragon Tattoo,tt1568346
The Girl with the Dragon Tattoo,tt1132620
The Girl Next Door,tt0265208
"Girl, Interrupted",tt0172493
Lars and the Real Girl,tt0805564
The Other Boleyn Girl,tt0467200
The Girl Who Played with Fire,tt1216487
Girl with a Pearl Earring,tt0335119
My Girl,tt0102492
Terminator 2: Judgment Day,tt0103064
Groundhog Day,tt0107048
Independence Day,tt0116629
The Day After Tomorrow,tt0319262
Training Day,tt0139654
Ferris Bueller's Day Off,tt0091042
Dog Day Afternoon,tt0072890
Die Another Day,tt0246460
A Good Day to Die Hard,tt1606378
Knight and Day,tt1013743
World War Z,tt0816711
Thor: The Dark World,tt1981115
Jurassic World,tt0369610
Scott Pilgrim vs. the World,tt0446029
Master and Commander: The Far Side of the World,tt0311113
The World Is Not Enough,tt0143145
Wayne's World,tt0105793
Team America: World Police,tt0372588
Ghost World,tt0162346
Night at the Museum,tt0477347
30 Days of Night,tt0389722
Date Night,tt1279935
"Good Night, and Good Luck.",tt0433383
The Night of the Hunter,tt0048424
Fright Night,tt1438176
We Own the Night,tt0498399
Run All Night,tt2199571
Night at the Museum: Secret of the Tomb,tt2692250
Iron Man,tt0371746
Iron Man 3,tt1300854
Spider-Man,tt0145487
Man of Steel,tt0770828
Iron Man 2,tt1228705
The Amazing Spider-Man,tt0948470
Spider-Man 2,tt0316654
Rain Man,tt0095953
Spider-Man 3,tt0413300
The Amazing Spider-Man 2,tt1872181
Toy Story,tt0114709
Toy Story 3,tt0435761
Toy Story 2,tt0120363
Perfume: The Story of a Murderer,tt0396171
Dodgeball: A True Underdog Story,tt0364725
A Christmas Story,tt0085334
It's Kind of a Funny Story,tt0804497
The NeverEnding Story,tt0088323
The Straight Story,tt0166896
Life of Pi,tt0454876
Life Is Beautiful,tt0118799
It's a Wonderful Life,tt0038650
Life of Brian,tt0079470
The Secret Life of Walter Mitty,tt0359950
The Life Aquatic with Steve Zissou,tt0362270
The Tree of Life,tt0478304
Lara Croft Tomb Raider: The Cradle of Life,tt0325703
Mia Italida ap' tin Kypseli,tt0204484
Ap' ta kokala vgalmena,tt1838452
Gabros ap' to Londino,tt0136211
Hooligans - Kato ta heria ap' ta niata!,tt0231747
Being AP,tt3916100
Tora pou fevgo ap' ti zoi,tt0145533
I gynaikara ap' to Kilkis,tt0291967
To gelio vgike ap' ton Paradeiso,tt0202369
Pio thermi kai ap' ton ilio,tt0068693
Ap 2000,tt0408496
AC/DC: Live at Donington,tt0337566
AC/DC: Let There Be Rock,tt0080321
AC/DC: Family Jewels,tt0476635
AC/DC: No Bull,tt0255773
AC/DC: Live at River Plate,tt1933535
AC/DC: Stiff Upper Lip Live,tt0368557
One Million AC/DC,tt0064763
AC/DC: Plug Me In,tt1174684
AC/DC: Fly on the Wall,tt0454661
